"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
296.67,294.51,298.23,291.24,-1,-1
-1,-1,354.53,-1,16.63,-1
37.51,16.35,60.36,-1,109.4,148.5
98.61,109.7,109.95,-1,-1,-1
103.02,107.79,103.27,102.98,100.49,-1
-1,-1,122.23,98.21,-1,-1
-1,111.48,113.89,-1,-1,-1
-1,274.26,-1,249.76,213.49,-1
294.15,114.04,-1,-1,-1,-1
292.37,270.88,246.64,-1,125.52,-1
-1,-1,-1,249.77,44.57,-1
-1,-1,9.28,-1,37.19,168.14
10.2,342.39,11.61,317.85,-1,-1
336.24,118.26,-1,-1,-1,-1
-1,-1,-1,228.42,194.08,-1
104.97,-1,111.26,-1,-1,-1
282.03,273.52,267.54,-1,-1,-1
288.05,273.82,-1,-1,-1,-1
-1,-1,-1,-1,231.2,218.11
-1,111.79,117.67,108.75,115.14,-1
288.19,274.94,258.79,255.73,230.74,-1
31.56,331.85,-1,218.42,151.81,117.33
-1,115.96,123.58,103.22,-1,-1
-1,-1,112.24,-1,100.86,-1
81.98,272.67,-1,-1,-1,-1
286.85,274.19,-1,256.45,-1,-1
-1,129.18,-1,138.97,-1,-1
116.52,128.12,132.47,130.97,138.46,-1
-1,128.86,-1,132.52,-1,-1
-1,276.6,-1,129.24,232.7,-1
96.1,99.89,82.96,248.96,106.96,-1
96.81,-1,124.42,100.89,106.62,127.52
-1,-1,302.48,286.8,297.13,-1
-1,102.41,-1,99.42,-1,-1
105.73,108.75,111.16,97.68,110.6,130.88
-1,-1,-1,-1,239.94,221.95
-1,274.87,274.71,261.35,267.03,-1
-1,275.26,-1,248.6,212.25,213.85
298.61,287.08,291.45,273.98,125.01,-1
300.17,287.18,289.79,246.5,210.24,-1
-1,-1,-1,270.98,267.71,-1
-1,273.5,133.56,131.05,-1,-1
108.59,113.59,-1,-1,-1,-1
8.77,345.61,8.08,342.16,33.92,168.14
7.83,340.94,28.38,315.96,-1,-1
