"RMS_received_1","RMS_received_2","RMS_received_3","RMS_received_4","RMS_received_5","RMS_received_6"
88.12,86.06,82.65,78.13,NA,NA
NA,NA,NA,79.4,76.49,77.18
86.2,83.78,83.87,84.53,84.01,79.87
77.46,NA,79,78.01,NA,NA
NA,85.96,NA,76.59,NA,NA
79.61,86.76,NA,83.6,NA,NA
NA,82.78,88.32,79.77,83.89,80.22
NA,NA,83.02,77.26,83.63,NA
NA,99.08,101.55,NA,NA,NA
95.51,82.72,80.64,84.75,85.93,80.2
77.58,NA,76.74,80.92,82.21,82.81
86.68,82.32,NA,NA,NA,NA
86.04,NA,80.01,NA,72.09,78.67
NA,76.99,79.72,NA,NA,NA
82.15,88.03,78.28,NA,NA,NA
79.18,NA,83.36,NA,75.65,NA
NA,87.7,80.19,NA,NA,NA
80.04,85.43,78.07,NA,NA,NA
73.94,75.93,NA,75.33,74.34,NA
NA,77.14,NA,76.41,73.2,NA
83.35,NA,84.8,NA,NA,NA
82.46,86.73,86.76,NA,100.49,NA
NA,89.12,NA,95.66,77.68,NA
NA,88.53,79.13,81.13,75.03,NA
88.64,78.22,88.24,72.96,78.45,NA
95.81,86.56,NA,83.99,NA,NA
NA,88.88,NA,81.24,NA,NA
94.88,89.84,88.94,84.61,88.04,78.31
NA,79.56,NA,102.14,103.48,NA
NA,NA,NA,NA,83.04,82.31
NA,82.43,78.9,83.63,83.71,84.15
NA,83.06,NA,81.66,NA,NA
NA,NA,89.49,NA,87.95,79.52
NA,92.37,NA,98.79,NA,NA
88.35,85.12,86.92,NA,82.96,74.71
NA,NA,NA,81.98,84.78,NA
83.5,77.75,79.23,77.77,82.16,NA
NA,NA,70.87,96.96,NA,NA
NA,NA,74.31,NA,78.46,75.82
NA,71.07,NA,73.21,NA,NA
75.43,NA,76.74,NA,NA,NA
83.65,84.56,84.13,87.53,82.46,78.59
NA,NA,NA,74.12,75.58,NA
82.95,NA,78.06,77.28,NA,NA
77.09,81.26,80.36,NA,NA,NA
NA,81.95,76.09,81.62,NA,NA
87.33,73.6,68.97,89.81,NA,NA
71.67,89.72,88.82,NA,87.44,80.87
86.47,88.03,NA,NA,NA,NA
101.36,100.94,102.8,109.19,110.05,NA
92.32,95.16,99.87,100.65,NA,NA
86.89,NA,84.7,NA,83.2,NA
84.92,88.2,86.39,89.36,84.17,78.74
NA,NA,80.82,80.23,NA,NA
91.48,90.08,86.54,83.67,82.57,77.25
78.22,79.84,79.07,NA,NA,NA
80.08,NA,80.19,NA,NA,NA
NA,76.73,78.94,NA,NA,NA
NA,NA,66.16,76.15,NA,NA
72.87,NA,81.94,NA,75.01,NA
79.84,76.32,NA,NA,NA,NA
78.29,NA,83.08,NA,NA,NA
79.57,75.44,68.65,NA,NA,NA
80.36,73.97,76.96,NA,NA,NA
73.87,NA,100.99,102.6,80.36,NA
NA,72.5,70.11,75.7,NA,NA
69.61,74.07,72.78,NA,NA,NA
70.92,69.12,73.3,76.68,NA,NA
93.27,95.51,NA,NA,NA,NA
91.52,94.83,93.68,100.65,106.79,NA
79.87,80.96,NA,82.27,NA,NA
NA,NA,79.2,90.55,91.73,80.18
82.61,NA,86.75,NA,80.24,NA
82.62,NA,72.84,NA,NA,NA
82.46,NA,74.92,NA,NA,NA
75.08,NA,78.23,NA,76.95,NA
81.23,75.31,NA,74.95,NA,NA
85.79,88.13,81.93,85.73,81.85,NA
NA,79.97,85.22,75.51,NA,NA
85.21,82.42,72.9,81.03,86.61,82.61
78.66,81.19,NA,81.35,82.65,79.01
82.03,NA,74.38,NA,84.22,77.61
86.56,81.29,84.13,82.83,NA,NA
77.56,71.81,82.37,NA,77.6,NA
89.07,77.13,87.24,NA,84.87,78.26
65.68,75.1,68.95,NA,NA,NA
NA,85.55,83.37,86.07,77.48,NA
85.61,78.81,81.71,NA,79.38,NA
88.73,85.34,86.27,85.65,85.68,79.38
83.01,84.39,84.33,81.14,82.79,78.87
92.89,91.34,88.08,86.6,88.84,80.52
74.59,72.34,66.12,71.2,NA,NA
NA,87.34,NA,87.23,83.27,NA
74.77,72.3,74.6,NA,74.7,NA
91.32,85.43,86.71,84.88,NA,NA
79.93,77.39,79.53,NA,87.35,80.26
NA,NA,80.97,76.96,NA,NA
84.87,86.61,85.76,83.98,84.89,NA
NA,79.96,83.88,78.43,82.17,NA
87.6,83.1,84.5,84.62,86.66,80.54
NA,85.84,NA,82.14,81.59,77.37
72.98,70.71,NA,72.14,NA,NA
87.37,91.66,97.51,90.84,87.36,NA
77.93,75.29,NA,NA,NA,NA
NA,NA,83.48,84.62,93.22,NA
77.1,NA,80.74,NA,92.16,93.98
78.44,75.36,NA,NA,NA,NA
74.36,92.88,87.09,92.88,89.86,78.3
75.81,74.64,NA,77.28,NA,NA
91.43,84.49,75.86,85.2,85.1,78.96
90.02,93.74,85.57,79.91,81.71,NA
NA,NA,NA,83.36,80.76,NA
90.07,84.24,86.7,84.61,85.26,80.14
NA,80.71,81.33,81.43,80.85,83.75
79.33,83.61,83.38,NA,NA,NA
82.65,77.9,NA,78.05,81.12,NA
92.32,85.21,NA,85.38,NA,NA
90.44,84.89,87.42,84.77,85.92,82.18
74.62,76.75,76.17,81.38,NA,NA
82.4,NA,79.94,NA,79.74,NA
74.82,81.85,NA,78.16,NA,NA
87.34,84.42,85.34,81.35,83.83,77.36
NA,84.46,NA,81.36,NA,NA
75.66,NA,73.6,79.05,NA,NA
94.03,73.86,75.86,75.98,NA,NA
82.54,84.35,82.28,NA,NA,NA
NA,86.89,85.46,86.47,86.06,82.48
78.15,NA,81.74,75.24,76.73,NA
NA,NA,NA,79.71,72.22,NA
90.52,84.71,84.66,77.73,83.29,NA
