"bearing_1","bearing_2","bearing_3","bearing_4","bearing_5","bearing_6"
281.7,275.79,267.44,259.93,NA,NA
286.48,264.1,260.81,NA,232.39,NA
281.55,273.9,264.92,NA,244.59,244
107.67,115.22,106.44,NA,NA,NA
NA,267.54,264.81,259.64,233.9,NA
282.37,277.45,264.34,NA,242.2,NA
282.29,273.19,264.67,259.2,243.81,245.52
110.89,118.4,120.59,119.18,123.17,141.99
116.88,163.07,145.76,167.82,217.26,172.67
102.69,106.69,113,115.43,NA,NA
NA,272.3,NA,259.08,203.33,NA
283.59,284.4,279.33,NA,271.74,NA
282.92,273.62,267.24,259.76,NA,NA
284.19,278.15,264.63,NA,243.95,250.36
NA,NA,270.56,262.15,NA,NA
285.7,274.17,251.02,254.07,227.42,NA
NA,268.58,236.13,248.24,215.1,NA
281.93,274.38,263.13,254.99,232.32,240.26
NA,268.79,NA,249.74,217.12,217.17
302.37,294.17,NA,288.72,NA,NA
17.5,310.26,95.77,237.19,163.46,NA
113.45,161.51,NA,NA,NA,NA
NA,NA,2.73,317.08,14.38,NA
5.83,NA,1.8,NA,14.83,177.62
283.11,278.34,NA,NA,NA,NA
73.06,306.47,263.17,236.16,163.4,183.86
299.93,291.93,NA,289.12,NA,NA
280.67,273.61,215.63,259.96,243.63,240.4
116.03,167.2,146.87,252.63,219.45,NA
NA,NA,NA,171.87,153.3,NA
282.11,274.15,264.13,259.53,244.74,242.08
NA,276.31,252.31,228.06,248.51,241.16
4.77,338.14,346.93,NA,NA,NA
294.52,272.4,NA,222.54,228.42,NA
281.67,275.14,NA,260.32,NA,NA
282.16,274.59,247.52,260.23,239.67,222.05
298.05,297.39,296.09,289.61,NA,NA
284.25,NA,266.05,NA,247.13,NA
285.1,274.42,NA,253.32,NA,NA
299.78,278.27,251.56,252.2,217.88,215.99
NA,278.07,NA,251.88,NA,NA
296.2,NA,299.45,287.54,NA,NA
251.66,80.24,121.23,117.69,NA,NA
106.85,116.28,121.83,NA,NA,NA
NA,250.3,216.28,235.92,203.53,208.15
292.2,NA,272.92,268.24,250.02,NA
NA,NA,NA,239.1,202.81,NA
249.41,250.88,206.56,126.38,179.64,NA
NA,NA,NA,236.56,202.34,204.77
NA,NA,NA,240.3,205.41,206.97
155.89,197.72,160.45,NA,NA,NA
NA,98.59,107.57,98.69,103.81,117.31
96.25,105.31,107.76,NA,98.71,NA
251.98,250.5,220.98,235.34,203.3,207.68
117.91,219.84,NA,252.34,NA,NA
NA,166.19,NA,168.47,NA,NA
127.83,186.79,150.87,185.09,159.07,177.45
119.63,166.58,141.67,175.34,155.44,NA
NA,267.69,NA,253.38,NA,NA
NA,258.78,NA,236.48,247.94,235.86
NA,258.12,NA,248.94,NA,NA
NA,275.11,NA,252.63,NA,NA
254.21,252.33,215.43,236.79,203.92,195.94
NA,260.78,223.15,241.36,206.18,206.26
120.32,166.73,NA,NA,NA,NA
NA,NA,300.31,289.04,NA,NA
250.99,249.38,213.64,234.38,202.22,206.64
102.64,107.46,252.58,253.18,214.42,215.39
NA,107.15,NA,112.09,108.53,NA
NA,102.11,NA,95.95,108.31,124.77
251.67,249.76,213.2,236.11,260.97,NA
NA,102.38,NA,349.93,101.69,NA
83.05,NA,113.18,NA,NA,NA
NA,359.38,NA,105.84,108.68,NA
NA,158.38,138.16,NA,NA,NA
104.11,116.93,NA,NA,NA,NA
NA,115.07,117.15,NA,NA,NA
79.78,NA,112.07,130.56,127.08,NA
NA,121.1,124.49,NA,130.88,142.18
NA,154,138.05,170.68,NA,NA
81.33,95.59,NA,129.67,NA,NA
NA,279.93,282.06,NA,267.07,275.63
119.04,101.85,112.8,101.42,128.24,155
81.26,NA,107.39,NA,103.24,120.87
NA,NA,NA,NA,127.51,147.9
80.17,85.13,113.09,131.02,129.3,151.14
NA,NA,299.55,279.45,NA,NA
280.31,127.93,NA,135.7,128.49,NA
104.94,NA,142.19,NA,NA,NA
97.39,161.62,120.69,135.52,129.89,NA
106.01,159.53,141.59,170.74,NA,NA
104.36,109.56,NA,103.9,106.7,119.98
89.82,106.4,109.89,100.25,104.95,121.53
NA,NA,36.22,NA,101.62,NA
284.15,276.85,280.9,102.89,270.06,277.69
97.33,NA,102.99,NA,NA,NA
98.04,106.63,107.83,NA,101.55,122.97
112.87,125.23,NA,131.52,NA,NA
286.41,NA,261.02,282.6,NA,NA
75.79,93.82,NA,NA,NA,NA
NA,94.36,105.37,125.68,NA,NA
101.33,161.11,NA,NA,NA,NA
91.95,96.9,106.35,102.64,105.31,120.69
NA,NA,NA,NA,107.99,115.37
91.94,95.35,100.33,96.94,101.78,119.39
84.63,NA,109.27,NA,NA,NA
92.13,100.42,104.08,99.12,105.22,122.87
98.12,162.02,139.04,NA,NA,NA
NA,NA,135.77,NA,149.89,NA
92.46,96.67,103.42,92.44,99.75,121.29
NA,92.92,NA,95.94,97.47,123.64
95.29,91.39,109.82,97.69,103.81,105.94
NA,NA,NA,NA,105.68,117.61
NA,100.72,106.77,98.5,NA,NA
283.21,267.93,240.39,249.6,216.11,NA
NA,270.46,213.64,238.42,167.75,128.34
283.28,269.74,237.42,245.21,219.06,NA
95.68,100.85,102.33,98.38,105.45,124.12
NA,NA,277.78,263.89,248.23,NA
NA,289.55,301.72,284.99,NA,NA
309.45,96.75,105.07,100.56,133.91,124.22
NA,NA,NA,95.94,103.93,NA
NA,NA,105.71,94.93,101.31,NA
NA,NA,NA,98.56,100.92,NA
NA,NA,NA,NA,105.35,126.35
110.53,NA,105.04,120.09,NA,NA
296.63,NA,122.25,NA,123.74,139.39
299.23,NA,291.23,NA,NA,NA
NA,95.75,NA,96.93,101.28,119.75
NA,NA,NA,255.67,220.78,218
NA,264.21,230.6,NA,NA,NA
284.09,269.04,243.99,252.46,217.47,220.77
NA,266.49,NA,244.61,NA,NA
248.29,247.31,212.9,234.61,203.35,205.98
276.82,263.85,221.26,242.67,204.01,205.7
91.24,99.47,NA,97.75,NA,NA
249.46,249.51,184.51,234.22,199.08,NA
104.21,127.59,NA,135.62,133.66,NA
98.26,97.88,106.14,99.09,104.54,123.61
95.74,98.72,106.25,NA,NA,NA
95.45,97.83,NA,95.29,105.83,120.59
106.18,125.21,NA,123.92,NA,NA
295.9,NA,259.28,NA,NA,NA
287.36,NA,105.09,97.64,102.42,123.2
23.23,353.6,NA,NA,NA,NA
NA,278.75,NA,253.3,221.46,206.73
92.58,101.09,105.46,99.8,104.45,121.4
95.05,102.89,106.64,98.54,108.01,121.18
285.85,294.9,288.75,281.03,NA,NA
294.33,282.97,289.43,128.09,274.78,275.4
108.48,124.09,126.91,NA,125.83,NA
NA,NA,NA,NA,224.38,187.88
290.19,271.8,NA,254,233.19,NA
290.94,NA,263.82,NA,224.97,NA
93.81,97.26,NA,104.98,100.77,119.95
3.72,306.16,NA,247.81,165.48,185.07
109.61,262.69,230.54,243.1,NA,NA
98.41,117.98,NA,119.24,122.93,140.08
NA,323.61,NA,276.11,170.16,186.25
3.59,306.38,252.29,NA,181.21,NA
286.99,269.04,NA,NA,NA,NA
341.96,273.92,106.74,244.63,NA,NA
NA,353.49,NA,88.71,102.26,113.64
90.92,96.62,101.57,96.2,99.45,118.18
NA,NA,NA,NA,108.58,126.17
NA,NA,NA,257.09,253.18,NA
NA,NA,255.14,NA,227.95,NA
NA,NA,258.34,252.92,222.21,NA
287.65,282,NA,NA,NA,NA
NA,102.02,NA,218.15,104.6,NA
245.91,247.66,211.77,211.77,200.21,203.38
NA,NA,108.69,NA,106.97,127.02
94.12,100.01,102.55,99.04,105.33,119.56
110.71,118.14,NA,125.87,NA,NA
NA,123.64,157.32,181.59,163.03,NA
108.28,114.44,120.8,NA,NA,NA
103.92,NA,107.25,NA,NA,NA
296.7,288.6,290.2,80.17,277.71,NA
111.77,121.83,126.73,125.21,128.38,149.8
NA,106.52,113.12,NA,105.08,126.71
245.53,91.54,210.72,NA,184.49,NA
299.39,278.49,258.94,256.3,NA,NA
NA,271.03,232.01,244.07,212.45,212.03
NA,NA,NA,241.01,205.16,NA
NA,NA,NA,243.18,204.79,NA
250.27,245.16,210.5,234.18,199.77,NA
NA,NA,NA,NA,211.42,209.95
NA,275.2,255.22,NA,224.92,NA
288.58,274.9,NA,251.27,NA,NA
254.87,NA,307.4,NA,221.55,214.11
241.51,249.32,208.19,NA,195.76,NA
303.09,NA,265.5,233.64,NA,NA
109.48,NA,123.28,119.87,123.24,136.71
286.32,247.88,206.39,233.14,200.5,203.65
NA,302.29,NA,249.81,179.47,189.32
125.94,292.12,170.94,250.52,179.91,188.87
97.91,178.13,152.85,NA,NA,NA
97.95,172.04,NA,179.71,158.54,166.05
101.26,168.47,347.09,182.97,179.77,187.5
NA,301.73,NA,249.61,NA,NA
102.71,100.7,112.13,99.82,NA,NA
252.36,255.23,205.83,232.32,204.11,NA
247.41,251.81,215.84,237.72,213.1,NA
289.7,273.67,NA,NA,NA,NA
324.38,NA,300.24,NA,NA,NA
NA,NA,NA,248.51,198.26,NA
88.57,93.75,97.7,246.13,200.8,NA
NA,NA,NA,NA,99.25,119.23
NA,NA,261.8,NA,235.02,NA
292.85,273.52,254.37,256.72,NA,NA
284.43,302.76,259.87,255.02,231.7,NA
95.36,103.26,NA,95.45,104.58,120.82
96.37,99.47,101.42,NA,95.75,NA
NA,100.74,NA,102.64,NA,NA
111.41,124.21,125.33,124.73,127.35,145.25
91.4,101.38,102.68,102.09,104.44,124.85
98.97,103.58,112.59,106.34,111.23,NA
92.61,100.73,NA,98.04,103.1,121.44
111.36,115.41,NA,NA,NA,NA
58.44,241.17,145.69,NA,NA,NA
65.83,238.8,142.4,196.3,NA,NA
299.13,296.75,NA,NA,NA,NA
NA,286.68,NA,276.29,NA,NA
90.47,100.72,NA,NA,NA,NA
107,123.07,118.21,122.61,130.57,146.47
282.68,131.74,229.2,137.47,224.1,NA
315.2,287.06,NA,278,NA,NA
NA,102.46,111.88,97.46,NA,NA
295.01,288.86,290.19,274.29,275.02,NA
NA,NA,NA,NA,123.15,143.76
109.86,123.57,124.11,125.7,126.32,147.75
284.95,NA,291.3,NA,276.2,279.04
293.94,287.32,NA,276.98,NA,NA
286.68,272.24,260.31,257.42,236.37,NA
NA,112.76,121.19,109.7,115.04,NA
294.98,288.39,NA,281.42,NA,NA
286.6,271.81,248.67,251.23,NA,NA
99.52,100.56,111.91,NA,NA,NA
293.45,274.88,253.69,257.77,223.07,219.1
NA,NA,NA,NA,223.96,221.57
NA,NA,118.78,107.21,108.97,NA
295.97,290.42,NA,NA,NA,NA
NA,118.42,120.22,120.81,124.6,140.51
64.11,NA,144.02,NA,NA,NA
357.42,NA,317.8,NA,183.81,191.72
76.75,NA,108.05,NA,131.17,155.3
NA,288.49,NA,276.9,NA,NA
NA,117.63,119.38,119.77,125.4,135.36
NA,NA,NA,199.77,167.69,179.79
95.9,109.01,NA,NA,NA,NA
88.26,213.16,150.56,194.37,NA,NA
