pos	ID	unit	st	end	days	utmx	utmy	lat	long	z	comments	year	site
F	S410F0	15	2010-08-12 02:45:19	2010-10-03 11:35:59	52.3685300925863	553881	7812067	70.4085	145.5601	37.9	NA	2010	4
G	S410G0	14	2010-08-12 03:15:18	2010-10-03 08:55:00	52.2359027777784	547777	7815377	70.4394	145.7213	39.3	NA	2010	4
H	S410H0	6	2010-08-12 03:45:24	2010-10-03 09:45:00	52.2497222222228	541717	7811811	70.4085	145.8852	36.2	NA	2010	4
I	S410I0	8	2010-08-12 04:30:17	2010-10-03 13:12:59	52.3629976851807	541875	7804832	70.3459	145.8844	31.9	NA	2010	4
A	S411A0	18	2011-07-29 13:30:17	2011-10-01 22:07:00	64.3588194444455	548173.308375803	7794392.17806369	70.2512	145.7227	25.4	NA	2011	4
B	S411B0	24	2011-07-29 22:15:21	2011-10-01 21:24:59	63.9650347222196	554267.510120147	7797975.26218057	70.2823	145.5598	30.9	NA	2011	4
C	S411C0	16	2011-07-29 14:45:18	2011-10-01 22:49:00	64.3359027777769	548042.051638375	7801361.21508161	70.3138	145.7218	30.5	NA	2011	4
D	S411D0	34	2011-07-29 21:45:00	2011-10-01 23:28:00	64.0715277777781	554138.902390963	7804989.12823724	70.345	145.5589	33.28	NA	2011	4
F	S411F0	25	2011-07-29 21:00:19	2011-10-02 02:54:00	64.2456134259264	553967.783405198	7812046.65781246	70.408	145.5589	39.2	NA	2011	4
G	S411G0	22	2011-07-29 20:40:19	2011-10-02 02:16:59	64.2338078703688	547775.805818142	7815455.52508638	70.4401	145.722	38.7	NA	2011	4
H	S411H0	32	2011-07-29 16:00:15	2011-10-02 01:38:59	64.4018981481495	541777.773640948	7811779.03910246	70.4082	145.8841	36.5728	NA	2011	4
I	S411I0	15	2011-07-29 15:15:23	2011-10-02 00:59:00	64.4052893518528	541913.406650186	7804798.91803813	70.3456	145.883	31.868	NA	2011	4
A'	S412A1	15	2012-08-17 08:15:24	2012-10-06 00:08:59	49.6622222222213	560313.86124	7794375.66526	70.2485	145.4007	29.4	NA	2012	4
B	S412B0	43	2012-08-17 08:45:16	2012-10-06 00:49:00	49.669259259259	554187.98687	7798009.07798	70.2824	145.5608	30.6	No bearings.	2012	4
C'	S412C1	3	2012-08-17 07:15:16	2012-10-06 01:24:00	49.7560648148137	560166.82396	7801386.96943	70.3114	145.3997	34.7	NA	2012	4
D	S412D0	34	2012-08-17 02:00:23	2012-10-06 01:59:00	49.9990393518528	554040.90701	7805020.27384	70.3453	145.5603	33	NA	2012	4
E'	S412E1	12	2012-08-17 06:45:22	2012-10-06 02:32:59	49.8247453703661	560019.11016	7808398.30459	70.3742	145.3987	37.6	NA	2012	4
F	S412F0	13	2012-08-17 02:45:18	2012-10-06 03:11:00	50.0178472222251	553894.01991	7812031.52249	70.4082	145.5598	39.4	NA	2012	4
G'	S412G1	31	2012-08-17 06:15:23	2012-10-06 03:46:00	49.8962615740747	559871.84419	7815409.70022	70.4371	145.3977	40	NA	2012	4
H	S412H0	14	2012-08-16 17:30:23	2012-10-07 09:10:00	51.6525000000038	541773.82712	7811790.12102	70.4083	145.8837	36.3	NA	2012	4
